Name,Release Date,Year,Copies Sold,Price,Type,Revenue,Average Playtime,Review Score,Publisher Class,Genre,Review Score 2
Marvel’s Spider-Man Remastered,8/11/2022,2022,2043099,$60,Paid,"$79,374,822",0,,AAA,,96
Battlefield™ 2042,11/18/2021,2021,6647435,$60,Paid,"$127,899,648",0,,AAA,Shooter,46
New World: Aeternum,9/27/2021,2021,5556794,$60,Paid,"$145,021,006",346,,AAA,Action RPG,69
Dragon Age™: The Veilguard,10/30/2024,2024,746794,$60,Paid,"$40,019,494",58,,AAA,,71
Total War: WARHAMMER III,2/15/2022,2022,3479915,$60,Paid,"$136,840,576",217,,AAA,Strategy,72
The Last of Us™ Part I,3/27/2023,2023,1066473,$60,Paid,"$47,115,313",20,,AAA,,76
Dying Light 2 Stay Human: Reloaded Edition,2/2/2022,2022,3523665,$60,Paid,"$109,492,094",58,,AA,"Action RPG, Survival, Horror, Platformer, Shooter",79
S.T.A.L.K.E.R. 2: Heart of Chornobyl,11/19/2024,2024,1336812,$60,Paid,"$70,483,043",53,,AA,,82
"Warhammer 40,000: Space Marine 2",9/8/2024,2024,2559522,$60,Paid,"$134,719,813",54,,AA,Shooter,83
Cyberpunk 2077,12/8/2020,2020,14504493,$60,Paid,"$548,768,129",77,,AAA,,84
Borderlands 3,3/12/2020,2020,5232567,$60,Paid,"$85,367,957",71,,AAA,,85
Street Fighter™ 6,5/31/2023,2023,1817123,$60,Paid,"$77,153,711",106,,AAA,,86
Jurassic World Evolution 2,11/8/2021,2021,1587386,$60,Paid,"$39,750,378",25,,AA,,89
Forza Horizon 5,11/7/2021,2021,5791422,$60,Paid,"$183,826,489",57,,AAA,Racing,89
Football Manager 2024,11/5/2023,2023,947648,$60,Paid,"$43,039,847",289,,AAA,,90
Granblue Fantasy: Relink,1/30/2024,2024,1391699,$60,Paid,"$62,806,487",0,,AA,,90
Dead Space,1/26/2023,2023,1071555,$60,Paid,"$39,027,658",18,,AAA,,91
Mass Effect™ Legendary Edition,5/13/2021,2021,2403236,$60,Paid,"$55,356,580",58,,AAA,,91
ARMORED CORE™ VI FIRES OF RUBICON™,8/23/2023,2023,1480801,$60,Paid,"$75,492,218",38,,AAA,,91
Hogwarts Legacy,2/9/2023,2023,7615646,$60,Paid,"$321,234,033",37,,AAA,Action RPG,91
ELDEN RING,2/23/2022,2022,14015901,$60,Paid,"$569,796,307",107,,AAA,Action RPG,93
Ghost of Tsushima DIRECTOR'S CUT,5/15/2024,2024,1144719,$60,Paid,"$59,841,857",35,,AAA,,94
Persona 5 Royal,10/19/2022,2022,1721333,$60,Paid,"$53,236,900",71,,AAA,,97
Baldur's Gate 3,10/5/2020,2020,14599917,$60,Paid,"$732,575,965",139,,AAA,RPG,97
Black Myth: Wukong,8/18/2024,2024,21960747,$60,Paid,"$956,905,215",50,,AAA,Action RPG,97
Half-Life: Alyx,3/22/2020,2020,2009509,$60,Paid,"$81,995,092",21,,AAA,,98
EA SPORTS FC™ 25,9/25/2024,2024,2040684,$70,Paid,"$98,931,177",87,,AAA,,48
Call of Duty®: Black Ops 6,10/22/2024,2024,1468501,$70,Paid,"$90,751,853",0,,AAA,,51
EA SPORTS FC™ 24,9/27/2023,2023,4169497,$70,Paid,"$124,814,040",89,,AAA,Sports,57
Starfield,9/4/2023,2023,2233509,$70,Paid,"$139,774,221",107,,AAA,RPG,57
Dragon's Dogma 2,3/20/2024,2024,1909852,$70,Paid,"$112,512,327",48,,AAA,Action RPG,61
STAR WARS Jedi: Survivor™,4/26/2023,2023,1813940,$70,Paid,"$83,264,411",27,,AAA,,68
TEKKEN 8,1/24/2024,2024,814972,$70,Paid,"$48,378,491",91,,AAA,,71
Need for Speed™ Heat,6/3/2020,2020,4705716,$70,Paid,"$52,256,578",29,,AAA,,84
ARK: Survival Ascended,10/24/2023,2023,1906920,$45,Paid,"$71,360,705",199,,AA,,59
