Name,Release Date,Year,Copies Sold,Price,Type,Steam Revenue,Steam Review Score,Publisher Class,Genre(s),,,,,,,,,FTP Genres,,Paid Genres,,,,,
It Takes Two,3/24/2021,2021,7877015,$40,Paid,"$134,387,172",95,AAA,Platformer,Action,Adventure,Puzzle,,,,,,Platformer,,Battle Royale,,,,,
Satisfactory,6/7/2020,2020,5622170,$40,Paid,"$126,951,395",97,AA,Simulation,Strategy,Adventure,,,,,,,,,Adventure,,,,,
DOOM Eternal,3/18/2020,2020,3931877,$40,Paid,"$113,115,554",91,AAA,Shooter,Platformer,Adventure,,,,,,,Platformer,,,,,,,
Resident Evil 4,3/22/2023,2023,2777627,$40,Paid,"$106,075,402",98,AAA,Survival,Horror,Shooter,Puzzle,Action,Adventure,,,,Strategy,,Adventure,,,,,
Age of Empires IV: Anniversary Edition,10/27/2021,2021,3213086,$40,Paid,"$79,574,001",86,AAA,Strategy,,,,,,,,,Adventure,,Action,,,,,
"Warhammer 40,000: Darktide",11/29/2022,2022,2567928,$40,Paid,"$79,452,869",70,AA,Shooter,Action,Adventure,RPG,,,,,,,,Simulation,,,,,
MONSTER HUNTER RISE,1/11/2022,2022,3974804,$40,Paid,"$75,445,768",82,AAA,Action,Adventure,RPG,Shooter,,,,,,,,Adventure,,,,,
Manor Lords,4/25/2024,2024,2724302,$40,Paid,"$73,735,995",87,AA,Simulation,Strategy,,,,,,,,Simulation,,Adventure,,,,,
Grounded,7/27/2020,2020,2618402,$40,Paid,"$69,282,607",89,AAA,Survival,Action,Adventure,,,,,,,,,Adventure,,,,,
Detroit: Become Human,6/17/2020,2020,2708139,$40,Paid,"$46,888,681",96,AA,Action,Adventure,,,,,,,,RPG,,Action,,,,,
Fallout 76,4/13/2020,2020,2348829,$40,Paid,"$45,969,901",73,AAA,Action,Adventure,RPG,Shooter,,,,,,,,Adventure,,,,,
GUILTY GEAR -STRIVE-,6/10/2021,2021,1524284,$40,Paid,"$40,421,905",88,AA,Action,,,,,,,,,,,,,,,,
FINAL FANTASY VII REMAKE INTERGRADE,6/16/2022,2022,1059227,$40,Paid,"$40,361,176",89,AA,Action,Adventure,RPG,,,,,,,Platformer,,Adventure,,,,,
ARK: Survival Ascended,10/24/2023,2023,1906920,$45,Paid,"$71,360,705",59,AA,Adventure,Action,Shooter,RPG,Strategy,Adventure,,,,Strategy,,Action,,,,,
Ready or Not,12/16/2021,2021,4869087,$50,Paid,"$143,460,246",89,AA,Shooter,Strategy,Simulation,Adventure,,,,,,,,Action,,,,,
Mount & Blade II: Bannerlord,3/29/2020,2020,3800215,$50,Paid,"$134,576,569",88,AA,Strategy,Action,RPG,Simulation,,,,,,,,Adventure,,,,,
Crusader Kings III,8/31/2020,2020,2531920,$50,Paid,"$81,786,194",91,AAA,Strategy,RPG,Simulation,,,,,,,,,Adventure,,,,,Shooter
God of War,1/13/2022,2022,2741810,$50,Paid,"$75,021,137",96,AAA,Action,Adventure,RPG,,,,,,,,,Action,,,,,
Battlefield™ V,5/31/2020,2020,9253803,$50,Paid,"$69,537,625",71,AAA,Shooter,Battle Royale,,,,,,,,Action,,Adventure,,,,,
REMNANT II®,7/24/2023,2023,1589588,$50,Paid,"$61,318,414",83,AA,Action,Adventure,RPG,Shooter,,,,,,,,Adventure,,,,,
Cities: Skylines II,10/23/2023,2023,1290064,$50,Paid,"$55,628,288",53,AAA,Simulation,,,,,,,,,Adventure,,RPG,,,,,
Diablo® IV,10/16/2023,2023,1329901,$50,Paid,"$46,499,046",66,AA,Action,Adventure,RPG,,,,,,,,,Adventure,,,,,
Days Gone,5/16/2021,2021,2028130,$50,Paid,"$44,953,490",93,AAA,Shooter,Action,Adventure,Survival,Horror,,,,,,,Horror,,,,,
Victoria 3,10/24/2022,2022,1419088,$50,Paid,"$44,644,111",68,AAA,Strategy,Simulation,,,,,,,,,,Adventure,,,,,
Black Myth: Wukong,8/18/2024,2024,21960747,$60,Paid,"$956,905,215",97,AAA,Action,Adventure,RPG,,,,,,,,,Adventure,,,,,
Baldur's Gate 3,10/5/2020,2020,14599917,$60,Paid,"$732,575,965",97,AAA,RPG,Adventure,Strategy,,,,,,,Adventure,,Adventure,,,,,
ELDEN RING,2/23/2022,2022,14015901,$60,Paid,"$569,796,307",93,AAA,Action,Adventure,RPG,Platformer,,,,,,,,,,,,,
Cyberpunk 2077,12/8/2020,2020,14504493,$60,Paid,"$548,768,129",84,AAA,Shooter,Action,Adventure,RPG,,,,,,Shooter,,,,,,,
Hogwarts Legacy,2/9/2023,2023,7615646,$60,Paid,"$321,234,033",91,AAA,Action,Adventure,Puzzle,,,,,,,,,Action,,,,,
Forza Horizon 5,11/7/2021,2021,5791422,$60,Paid,"$183,826,489",89,AAA,Racing,,,,,,,,,,,Simulation,,,,,
New World: Aeternum,9/27/2021,2021,5556794,$60,Paid,"$145,021,006",69,AAA,Action,Adventure,RPG,,,,,,,,,Shooter,,,,,
Total War: WARHAMMER III,2/15/2022,2022,3479915,$60,Paid,"$136,840,576",72,AAA,Strategy,Action,,,,,,,,,,Strategy,,,,,
"Warhammer 40,000: Space Marine 2",9/8/2024,2024,2559522,$60,Paid,"$134,719,813",83,AA,Shooter,Action,Adventure,,,,,,,,,Horror,,,,,
Battlefield™ 2042,11/18/2021,2021,6647435,$60,Paid,"$127,899,648",46,AAA,Shooter,Adventure,,,,,,,,,,Shooter,,,,,
Dying Light 2 Stay Human: Reloaded Edition,2/2/2022,2022,3523665,$60,Paid,"$109,492,094",79,AA,Action,Adventure,RPG,Survival,Horror,Platformer,Shooter,,,,,Simulation,,,,,
Borderlands 3,3/12/2020,2020,5232567,$60,Paid,"$85,367,957",85,AAA,Shooter,Action,Adventure,RPG,,,,,,,,Adventure,,,,,
Half-Life: Alyx,3/22/2020,2020,2009509,$60,Paid,"$81,995,092",98,AAA,Shooter,Adventure,,,,,,,,Adventure,,Simulation,,,,,
Marvel’s Spider-Man Remastered,8/11/2022,2022,2043099,$60,Paid,"$79,374,822",96,AAA,Action,Adventure,Platformer,,,,,,,,,Horror,,,,,
Street Fighter™ 6,5/31/2023,2023,1817123,$60,Paid,"$77,153,711",86,AAA,Action,RPG,,,,,,,,,,Adventure,,,,,
ARMORED CORE™ VI FIRES OF RUBICON™,8/23/2023,2023,1480801,$60,Paid,"$75,492,218",91,AAA,Shooter,Adventure,,,,,,,,,,,,,,,
S.T.A.L.K.E.R. 2: Heart of Chornobyl,11/19/2024,2024,1336812,$60,Paid,"$70,483,043",82,AA,Survival,Horror,Action,Adventure,Shooter,,,,,,,Action,,,,,
Granblue Fantasy: Relink,1/30/2024,2024,1391699,$60,Paid,"$62,806,487",90,AA,RPG,Adventure,,,,,,,,,,,,,,,
Ghost of Tsushima DIRECTOR'S CUT,5/15/2024,2024,1144719,$60,Paid,"$59,841,857",94,AAA,Action,Adventure,RPG,,,,,,,,,Adventure,,,,,
Mass Effect™ Legendary Edition,5/13/2021,2021,2403236,$60,Paid,"$55,356,580",91,AAA,Action,Adventure,RPG,Shooter,,,,,,Strategy,,Adventure,,,,,
Microsoft Flight Simulator 40th Anniversary Edition,8/16/2020,2020,1098783,$60,Paid,"$54,739,221",79,AAA,Simulation,,,,,,,,,,,Adventure,,,,,
Persona 5 Royal,10/19/2022,2022,1721333,$60,Paid,"$53,236,900",97,AAA,RPG,,,,,,,,,,,,,,,,
The Last of Us™ Part I,3/27/2023,2023,1066473,$60,Paid,"$47,115,313",76,AAA,Shooter,Action,Adventure,,,,,,,,,Puzzle,,,,,
Football Manager 2024,11/5/2023,2023,947648,$60,Paid,"$43,039,847",90,AAA,Sports,Simulation,Strategy,,,,,,,,,Adventure,,,,,
Dragon Age™: The Veilguard,10/30/2024,2024,746794,$60,Paid,"$40,019,494",71,AAA,RPG,Shooter,Adventure,,,,,,,,,Shooter,,,,,
Jurassic World Evolution 2,11/8/2021,2021,1587386,$60,Paid,"$39,750,378",89,AA,Simulation,Strategy,,,,,,,,,,Action,,,,,
Dead Space,1/26/2023,2023,1071555,$60,Paid,"$39,027,658",91,AAA,Survival,Horror,Action,Adventure,Shooter,,,,,,,Adventure,,,,,
Starfield,9/4/2023,2023,2233509,$70,Paid,"$139,774,221",57,AAA,RPG,Shooter,Adventure,Action,,,,,,,,Strategy,,,,,
EA SPORTS FC™ 24,9/27/2023,2023,4169497,$70,Paid,"$124,814,040",57,AAA,Sports,Simulation,,,,,,,,,,Action,,,,,
Dragon's Dogma 2,3/20/2024,2024,1909852,$70,Paid,"$112,512,327",61,AAA,Action,Adventure,RPG,,,,,,,,,Horror,,,,,
EA SPORTS FC™ 25,9/25/2024,2024,2040684,$70,Paid,"$98,931,177",48,AAA,Sports,Simulation,,,,,,,,,,RPG,,,,,
Call of Duty®: Black Ops 6,10/22/2024,2024,1468501,$70,Paid,"$90,751,853",51,AAA,Shooter,Horror,Battle Royale,,,,,,,,,,,,,,
STAR WARS Jedi: Survivor™,4/26/2023,2023,1813940,$70,Paid,"$83,264,411",68,AAA,Action,Adventure,Puzzle,Platformer,RPG,,,,,,,Adventure,,,,,
DRAGON BALL: Sparking! ZERO,10/9/2024,2024,1139817,$70,Paid,"$71,184,337",90,AAA,Action,,,,,,,,,,,Puzzle,,,,,
Call of Duty®: Modern Warfare® III,11/8/2023,2023,1003998,$70,Paid,"$54,458,886",32,AAA,Shooter,Action,Adventure,Battle Royale,,,,,,,,Shooter,,,,,
Need for Speed™ Heat,6/3/2020,2020,4705716,$70,Paid,"$52,256,578",84,AAA,Racing,,,,,,,,,,,Simulation,,,,,
TEKKEN 8,1/24/2024,2024,814972,$70,Paid,"$48,378,491",71,AAA,Action,Adventure,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Adventure,,,,,
,,,,,,,,,,,,,,,,,,,,Adventure,,,,,
,,,,,,,,,,,,,,,,,,,,Adventure,,,,,
,,,,,,,,,,,,,,,,,,,,Shooter,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Adventure,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Adventure,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,Shooter,,,,,
,,,,,,,,,,,,,,,,,,,,Simulation,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,Simulation,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,Adventure,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,Strategy,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,Adventure,,,,,
,,,,,,,,,,,,,,,,,,,,Puzzle,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Adventure,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,Adventure,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Platformer,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Action,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,RPG,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Adventure,,,,,
